Term,Canada
Canada appeared in 60 documents,Total Words(m),Frequency(f),Relative frequency(f/m)
 2 <TITLE>AMERICAN RESOURCE SETS RIGHTS OFFERING</TITLE> <DATELINE> TORONTO March 24 </DATELINE><BODY> lt American Resource Corp Ltd> said the board approved a rights offering to class A non voting shareholders to be made on a one for one basis and expected to raise between 80 mln and 100 mln dlrs The company said a preliminary prospectus will be filed in Canada later this week and final terms for the rights offering will not be set until a final prospectus is filed American Resource intends to use proceeds to expand its investment and merchant banking activities mainly in the United States it said Underwriters for the rights offering are Merrill Lynch Canada Inc Loewen Ondaatje McCutcheon and Co Ltd Burns Fry Ltd and Richardson Greenshields of Canada Ltd American Resource said The company also said Peter Gottsegen formerly managing director of international corporate finance activities at Salomon Brothers Inc was appointed to the board American Resource said it will invest in a U S company to be owned by it and Gottsegen Gottsegen will be chief executive of the new company which will engage in investment and merchant banking activities in the United States Reuter 3 </BODY>,196,3,0.015306122448979591
 2 <TITLE>HEES INTERNATIONAL SETS 100 MLN DLR SHARE ISSUE</TITLE> <DATELINE> TORONTO March 25 </DATELINE><BODY> lt Hees International Corp> said it filed a preliminary prospectus in Canada for a 100 mln dlr issue of 1 000 class A preference shares series G priced at 100 000 dlrs a share The preferred shares will carry a floating dividend rate which will be determined in a monthly auction it said The issue is being bought by a group of underwriters consisting of Dominion Securities Inc Wood Gundy Inc Merrill Lynch Canada Inc Gordon Capital Corp and Burns Fry Ltd The issue raises total outstanding series G preferreds to 200 mln dlrs and total equity to more than 1 30 billion dlrs Reuter 3 </BODY>,122,2,0.01639344262295082
 2 <TITLE>TORONTO DOMINION BUYING MONTREAL EXCHANGE SEAT</TITLE> <DATELINE> MONTREAL March 25 </DATELINE><BODY> lt Toronto Dominion Bank> said it agreed to purchase a seat on the Montreal Stock Exchange for 40 000 dlrs subject to regulatory and exchange approval The move came two weeks after Toronto Dominion paid 195 000 dlrs for a seat on the Toronto Stock Exchange which made it the first bank to apply for membership on a Canadian exchange The Toronto and Montreal exchanges are Canada s two biggest equity markets Proposed Canadian government legislation would allow banks full participation in the securities business after June 30 Toronto Dominion has owned a discount brokerage since 1984 Reuter 3 </BODY>,113,1,0.008849557522123894
 2 <TITLE>C I L ACQUIRING TRIMAC S STAKE IN TRICIL</TITLE> <DATELINE> TORONTO March 25 </DATELINE><BODY> lt C I L Inc> said it would exercise its right to acquire lt Trimac Ltd> s stake in their jointly owned Tricil Ltd for 91 mln dlrs with closing expected May 22 C I L added that the final price could be less however depending on an Ontario court ruling resulting from a previously reported legal action launched by C I L Mississauga Ontario based Tricil is a waste management company with operations in the U S and Canada Reuter 3 </BODY>,99,1,0.010101010101010102
 2 <TITLE>CANADA SETS OIL INDUSTRY AID PACKAGE</TITLE> <DATELINE> EDMONTON Alberta March 25 </DATELINE><BODY>Canada s federal government will provide a 350 mln dlr oil industry aid package that includes cash incentives designed to cover one third of a company s oil and gas exploration and development costs Energy Minister Marcel Masse announced The aid program will inject about 350 mln dlrs a year into the oil and gas industry and could lead to more than one billion dlrs in new investment Masse told a news conference The program will affect drilling done anywhere in Canada on or after April 1 1987 Masse told reporters that the government s oil industry aid package is aimed at small and medium sized companies The aid package called the Canadian Exploration and Development Incentive Program will restrict the total payments that any individual company can claim to 10 mln dlrs a year Masse said the program will probably generate new employment equivalent to 20 000 people working for a year He said oil industry aid is needed because exploration and development spending dropped by at least 50 pct since world oil prices fell during the first half of 1986 Energy Minister Masse said the federal government decided to provide cash incentives so a large number of non tax paying companies mainly small Canadian firms will receive the full value of the incentive Such companies would not immediately benefit from tax benefits he said The federal government also wanted to deliver an aid program outside the tax system Finance Minister Michael Wilson is now reviewing Canada s tax system and plans to announce tax reform proposals later this spring An important feature of the aid program is a decision to let companies issue flow through shares allowing investors to benefit from the subsidy rather than restricting benefits to only participating companies he said Allowing flow through shares under the program will make it easier for companies to attract investors in exploration and development Masse said He told reporters his department is still considering whether to allow partnerships and other entities to qualify for the subsidy Reuter 3 </BODY>,353,4,0.0113314447592068
 2 <TITLE>ENCOR PLANS 125 MLN DLR DEBENTURE OFFERING</TITLE> <DATELINE> CALGARY Alberta March 25 </DATELINE><BODY> lt Encor Energy Corp Inc> said it planned an issue in Canada of 125 mln dlrs of 6 75 pct subordinated debentures convertible any time into Encor common shares for a price of 10 dlrs a share Encor 48 pct owned by Dome Petroleum Ltd lt DMP> said investment dealers McLeod Young Weir Ltd and Pemberton Houston Willoughby Bell Gouinlock Inc agreed to purchase the issue for resale to the public It said the debentures would pay interest semi annually and be callable after five years at par plus accrued interest Encor earlier reported a 1986 net loss of 406 6 mln dlrs Encor last year earned 35 4 mln dlrs The 1986 net loss included a 545 7 mln dlr asset writedown before a 139 2 mln dlr recovery of deferred taxes The company said 1986 results were seriously affected by lower oil and gas prices but did not reflect its recent acquisition of lt Aberford Resources Ltd> It said that while oil prices had improved in early 1987 it would remain cautious and base capital spending on conservative price assumptions Encor will use proceeds from the debenture offer to retire bank debt incurred in the Aberford deal it said Reuter 3 </BODY>,219,1,0.0045662100456621
 2 <TITLE>U S SENATE TRADE LEADER CONCERNED ABOUT CANADA</TITLE> <DATELINE> WASHINGTON March 25 </DATELINE><BODY>The chairman of the U S Senate committee with jurisdiction over trade said he was concerned about a resolution on bilateral trade negotiations adopted by the Canadian House of Commons last week The resolution supports negotiation of a bilateral trading agreement with the United States while protecting Canadian political sovereignty social programs agricultural marketing systems the auto industry and Canada s cultural identity Senate Finance Committee chairman Lloyd Bentsen said the resolution may jeopardize the viability of the proposed free trade agreement between the two countries which are each other s largest trading partners We need a truly free trade agreement which means both countries have to work toward a deal that is mutually beneficial and comprehensive a large agreement the Texas Democrat said in a statement I do not question Canada s right to protect its political sovereignty or cultural identity However if these phrases mean the government of Canada means to take important economic issues off the table in these negotiations I am deeply concerned he added Bentsen said Canada restricts trade 15 different ways while the United States uses only six trade restriction methods He said if Canada proposes an agreement where both countries get rid of six methods of trade restriction it would not be fair and might not win Senate approval I am deeply concerned that when the President visits Prime Minister Brian Mulroney next month he will be presented with this kind of argument and I hope he makes it clear as I did when I was in Canada that only a mutually beneficial agreement will be successful Bentsen said Reagan and Mulroney are scheduled to meet April 5 6 in Ottawa Bentsen urged Mulroney to withdraw a proposal that would ban imports of independently produced films into Canada by non Canadians which the senator called a protectionist measure Reuter 3 </BODY>,322,8,0.024844720496894408
 2 <TITLE>JOHN LABATT SEES GOOD FOURTH QUARTER YEAR</TITLE> <DATELINE> MONTREAL March 25 </DATELINE><BODY> lt John Labatt Ltd> anticipates a good fourth quarter and a new peak in sales and earnings for the fiscal year ending April 30 president Peter Widdrington told financial analysts He would not make any specific forecast but said he was optimistic for further growth in fiscal 1988 in the company s brewing and food products operations Labatt s earnings rose to 92 8 mln dlrs in the nine months ended January 31 from year earlier 78 mln dlrs Revenue for the nine months rose to 3 20 billion dlrs from 2 70 billion dlrs Widdrington said Labatt s three year business plan now being updated targets total sales of about six billion dlrs including 2 50 billion dlrs in the U S Labatt Canada s leading brewer has expanded in the U S food products industry by acquisitions Widdrington said Labatt s strategy for U S expansion stemmed partly from its strong market position in the Canadian food and beverage industry The U S share of revenues for this year will be about 35 pct rising to 40 pct in fiscal 1988 he said Reuter 3 </BODY>,202,1,0.0049504950495049506
 2 <TITLE>CANADA MAY MONITOR STEEL SHIPMENTS</TITLE> <DATELINE> OTTAWA March 26 </DATELINE><BODY>Canada may begin monitoring steel flowing in and out of the country to determine if any steel is being illegally trans shipped to the U S senior government trade officials said The officials asking not to be identified said the government will investigate an industry contention that steel imported from countries such as South Korea and Taiwan is being diverted to the U S and ultimately exasperating concerns about the level of Canadian exports south of the border But the senior officials asking not to be indentified said that despite intense pressure from the Reagan Administration Ottawa was not considering any kind of formal limits on Canadian shipments to the U S In a sense what I hope we are doing is buying some time said one official who claimed Canadian companies were fair traders in the big American market If approved by the Canadian cabinet the officials said a monitoring system will be established in the next three or four months I guess if we find trans shipment is a problem we would have to do something about it said a trade official Canadian steel shipments to the U S have risen to 5 7 pct of the U S market in recent months almost double the level just two years ago The increase in Canadian shipments comes at a time of growing anger in the U S over rising steel imports from several countries in the face of a decline among domestic steel producers Some U S lawmakers have proposed Canada s share of the American market be limited to 2 4 per cent The Ontario Government has urged Ottawa to require foreign companies to obtain permits to import steel into the country Currently import licences are required only for carbon or raw steel which makes up less than half the steel market Canada exported two billion Canadian dlrs worth of steel in 1986 while importing 944 mln dlrs worth of the product in the same year Reuter 3 </BODY>,343,4,0.011661807580174927
 2 <TITLE>SNC GROUP EXPECTS HIGHER 1987 EARNINGS SALES</TITLE> <DATELINE> MONTREAL March 25 </DATELINE><BODY> lt SNC Group Inc> expects 1987 earnings to rise to 1 20 1 40 dlrs a share from 91 cts a share last year with revenues climbing to about 430 mln dlrs from last year s 350 mln dlrs president Alex Taylor said before the annual meeting SNC Canada s second biggest engineering and construction group became the country s largest ammunition manufacturer last year with its 90 mln dlr acquisition of Canadian Arsenals Ltd from the Canadian government The impact of that and several smaller deals will be felt fully in 1987 Taylor said Defense preoducts and other manufacturing operations will account for more than half SNC s total 1987 revenues helping to counterbalance the more cyclical engineering and construction acivities Taylor said Last year SNC earned 8 7 mln dlrs including a small extraordinary gain In 1987 a total manufacturing activities will generate about 235 mln dlrs in revenues and engineering and construction about 200 mln dlrs he said adding that defense products operations should be a major contributor to earnings Reuter 3 </BODY>,190,1,0.005263157894736842
 2 <TITLE>S/P DOWNGRADES SIX U S MONEY CENTER BANKS</TITLE> <DATELINE> NEW YORK March 25 </DATELINE><BODY>Standard and Poor s Corp said it downgraded six U S money center bank holding companies affecting about 13 3 billion dlrs of debt securities They are Chase Manhattan Corp lt CMB> Chemical New York Corp lt CHL> Irving Bank Corp lt V> Manufacturers Hanover Corp lt MHC> Mellon Financial Corp lt MEL> and Security Pacific Corp lt SPC> S and P said the action on Chase Chemical Irving and Manufacturers primarily reflected continued vulnerability to lesser developed countries and median financial performance Standard and Poor s said its downgrade of Chemical also reflected that holding company s acquisition of Texas Commerce Bancshares lt TCB> which was just now approved by the Federal Reserve For Mellon and Security Pacific S and P cited higher non performing assets and weaker operating earnings The rating agency said it completed a review based on 1986 results of the largest U S bank holding companies It paid special attention to reassessing the effect of exposures to lesser developed countries on the holding companies earnings and capital Brazil s unilateral moratorium on debt service payments underscored the potential for polarization between bankers and debtor countries S and P said S and P noted that while Argentina Brazil Mexico and Venezuela each face unique economic problems the lack of progress toward moderating their debt service burdens has been disappointing However the agency pointed out that a substantive improvement in the large banks financial positions has acted as a counter balance to the Latin American debt situation Citing increasing financial strength S and P said it affirmed the debt ratings of Citicorp lt CCI> Bankers Trust New York Corp lt BT> Bank of Boston Corp lt BKB> and J P Morgan and Co Inc lt JPM> S and P noted that most U S bank holding companies have what it termed easily realizable capital resources available to them such as undervalued real estate appreciated portfolio securities and overfunded pension plans Most bank managements appear committed to improving the quality of their balance sheets S and P said noting many now emphasize long term strategies over short term earnings Standard and Poor s reduced Chase Manhattan s senior debt to AA minus from AA subordinated debt to A plus from AA minus and preferred stock to A from A plus The commercial paper of the parent and its unit Chase Manhattan Bank of Canada were affirmed at A 1 plus Chase has 3 2 billion dlrs of debt outstanding It has 6 4 billion dlrs of loans to Argentina Brazil Mexico and Venezuela one of the highest exposures to lesser developed countries among U S money centers Chase s underlying profitability remains at median levels because of its high expense structure S and P said S and P cut Chemical s and the unit Chemical New York N V s senior debt to AA minus from AA and subordinated debt to A plus from AA minus About 1 2 billion dlrs of long term debt was affected The agency cited Chemical s relatively large exposure to Latin American borrowers particulary Brazil and Mexico continued high levels of nonperforming assets and the pending acquisition of Texas Commerce Aggregate exposure to Argentina Brazil Mexico and Venezuela was almost four billion dlrs at year end 1986 or 105 pct of equity and reserves S and P pointed out Irving s senior debt was reduced to A plus from AA minus with subordinated debt and preferred stock lowered to A from A plus Its commercial paper was affirmed at A 111 1plus Irving has about 500 mln dlrs of debt outstanding Its approximately 1 4 billion dlrs of loans to the four major Latin debtor countries account for 110 pct of year end equity and reserves S and P downgraded Manufacturers Hanover s senior debt to A from A plus subordinated debt to A minus from A and preferred stock to BBB plus from A minus but affirmed its A 1 commercial paper The bank has 3 8 billion dlrs of debt S and P noted that Manufacturers has about 6 7 billion dlrs of loans to the major Latin debtor nations and has experienced weak earnings However the unit CIT Group Holdings Inc s AA minus senior debt and A 1 plus commercial paper were affirmed The rating agency cut Mellon s senior debt to A plus from AA and preferred stock to A from AA minus It has 1 1 billion dlrs of debt securities The commercial paper programs of Mellon Bank Canada and Mellon Australia Ltd guaranteed by the parent company were lowered to A 1 from A 1 plus S and P cited continued lower operating earnings and rising nonperforming assets and charge offs for Mellon Security Pacific s 1 7 billion dlrs of debt was downgraded Cut were its senior debt to AA from AA plus and subordinated debt and preferred stock to AA minus from AA Security Pacific Overseas Finance N V s debt issues were reduced to AA from AA plus Affirmed were the parent s A 1 plus commercial paper and the BBB rated debt of the unit Security Pacific Financial Systems These actions reflected Security Pacific s continued high levels of nonperforming assets and charge offs S and P said Reuter 3 </BODY>,895,2,0.0022346368715083797
 2 <TITLE>IADB MEETING ENDS WITH U S ISOLATED ON REFORM</TITLE> <AUTHOR> By Keith Grant</AUTHOR> <DATELINE> MIAMI March 25 </DATELINE><BODY>The United States remained isolated among the Inter American Development Bank s 44 members as the Bank ended its annual meeting here today without agreement on U S proposals to reform the regional lending institution The three day meeting was dominated by the dispute and by the failure of Brazil and its creditor banks to make any breakthrough on debt talks after Brasilia suspended interest payments last month Brazil s Central Bank governor Francisco Gros said after talks with its 14 bank advisory committee here yesterday that it could not make a token interest payment now as sought by banks but would maintain contact with the banks Delegates agreed to shelve discussion of IADB reforms until the half yearly International Monetary Fund and World Bank meetings in two weeks time in Washington at which a decision will be urgently sought in order to maintain credit flows to the recession hit region The Bank cannot maintain an adequate lending level unless it is given increased resources IADB president Antonio Ortiz Mena told a press conference Ortiz Mena said 42 countries opposed Washington s proposal to lower veto power over loans to 35 pct of the Bank s voting shares from a simple majority as at present U S Treasury Secretary James Baker said Monday the United States as 34 5 pct shareholder and provider of the bulk of the Bank s resources should have more say in approving loans and conditioned a nine billion dlr increase in its contribution on approving the reforms But Ortiz Mena said Latin America and the non regional members including Europe and Japan had all supported a 40 pct veto level Canada declined to state a position Behind the dispute was a U S attempt to radically change the direction of the Bank which has lent 35 billion dlrs to Latin America in its 28 years and give it a bigger role in the current debt strategy with increased lending but more stringent conditions attached But Ortiz said the Bank cannot divert too much of its resources to so called sectoral lending whereby loans to specific sectors are tied to economic reforms because this could affect the Bank s Triple A rating as a borrower in world markets For this reason we have agreed to limit sectoral loans to 25 pct of the total leaving the rest for investment in projects he said Ortiz Mena earlier told the Bank s closing session that as a result of negotiations here the Bank can expect a new injection of about 25 billion dlrs for the period 1987 90 The United States has said it will only be able to support a level close to the sixth replenishment of funds which came to 15 7 billion dlrs unless its proposals are accepted But despite the impasse some Latin American delegates including Mexican Finance Minister Gustavo Petricioli said they were optimistic a compromise agreement could be reached next month Reuter 3 </BODY>,511,1,0.0019569471624266144
